,Cellphone Img,Cellphone Brand,Cellphone Model,Tag
30,"https://images-na.ssl-images-amazon.com/images/I/814ALXDvpSL._AC_UL200_SR200,200_.jpg",Hisense,Smartphone U963 Dorado AT&T pre-Pago ,3
31,"https://images-na.ssl-images-amazon.com/images/I/81huWyIXx4L._AC_UL200_SR200,200_.jpg",SAMSUNG,GALAXY S8 PLUS G955F ORO ,3
32,"https://images-na.ssl-images-amazon.com/images/I/61NhKRmmfBL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Plata - 64GB - Telcel Prepago ,3
33,"https://images-na.ssl-images-amazon.com/images/I/61VO8vLd7XL._AC_UL200_SR200,200_.jpg",Samsung,"SM-G975F Smartphone Galaxy S10 AT&T/Prepago con Bundle Bud, 6.4"", Color Azul ",3
34,"https://images-na.ssl-images-amazon.com/images/I/31r8QsQgMML._AC_UL200_SR200,200_.jpg",Samsung,"SM-G9650 Galaxy S9 Plus - Smartphone 64 GB, Octa Core de 2.5GHa, 12 MP, Android 8 Oreo, AT&T/Prepago, Morado, 6 ",3
35,"https://images-na.ssl-images-amazon.com/images/I/51xkMbRYJnL._AC_UL200_SR200,200_.jpg",Samsung-,Smartphone Galaxy S10e 128 GB Amarillo ,3
36,"https://images-na.ssl-images-amazon.com/images/I/311VbxJgvqL._AC_UL200_SR200,200_.jpg",Samsung,"Galaxy S8 - Smartphone, color Gris Orquidia, Telcel Pre-pago ",3
37,"https://images-na.ssl-images-amazon.com/images/I/41YChKsRYKL._AC_UL200_SR200,200_.jpg",Blade,"A6 Plata 16GB 5.2"" FullHD 13 Mpx RAM 2GB RAM 16GB mas microSD hasta 128GB ",3
38,"https://images-na.ssl-images-amazon.com/images/I/51Y8ODsK6FL._AC_UL200_SR200,200_.jpg",LG,"Q6 PRIME M700H COLOR GRIS - PANTALLA 5"" - CAMARA FRONTAL 5MPX CON GRAN ANGULAR 100 Y TRASERA 13MPX - OCTACORE ",3
39,"https://images-na.ssl-images-amazon.com/images/I/61Oj5%2BRr1KL._AC_UL200_SR200,200_.jpg",Smartphone,Samsung Galaxy S8 color negro. Version internacional ,3
40,"https://images-na.ssl-images-amazon.com/images/I/31N7hdCsROL._AC_UL200_SR200,200_.jpg",Samsung,"SM-G9650 Smartphone Galaxy S9 Plus 6.2"", color Negro. AT&T/Prepago ",3
41,"https://images-na.ssl-images-amazon.com/images/I/81NIinfhx4L._AC_UL200_SR200,200_.jpg",Hisense,Smartphone U963 Negro AT&T pre-Pago ,3
42,"https://images-na.ssl-images-amazon.com/images/I/61BeFQhKlJL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 64GB color dorado (AT&T) ,3
43,"https://images-na.ssl-images-amazon.com/images/I/51pYtzMePOL._AC_UL200_SR200,200_.jpg",Samsung,"Galaxy S8 - Smartphone, color Gris Orquidia, Version internacional ",3
44,"https://images-na.ssl-images-amazon.com/images/I/61IxOpceG9L._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Gris Espacial - 512GB - Telcel Prepago ,3
45,"https://images-na.ssl-images-amazon.com/images/I/31k-Aos8XML._AC_UL200_SR200,200_.jpg",SAMSUNG,"SM-G9600 Smartphone Galaxy S9 S 5.8"", Color Morado. AT&T/Prepago ",3
46,"https://images-na.ssl-images-amazon.com/images/I/61Yz1jppwdL._AC_UL200_SR200,200_.jpg",Smartphone,Samsung Galaxy S8 color negro. AT&T pre-pago ,3
47,"https://images-na.ssl-images-amazon.com/images/I/61ezYB5jJWL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Oro - 64GB - Telcel Prepago ,3
48,"https://images-na.ssl-images-amazon.com/images/I/61NhKRmmfBL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Plata - 512GB - Telcel Prepago ,3
49,"https://images-na.ssl-images-amazon.com/images/I/81UgYuadkpL._AC_UL85_SR85,85_.jpg",Xiaomi,"Redmi Note 8 Pro, 64GB memoria/6GB RAM 6.53"" HDR, Helio G90T Octa-Core, Gris - Version Global Desbloqueado ",3
50,"https://images-na.ssl-images-amazon.com/images/I/61fPo-nBDBL._AC_UL85_SR85,85_.jpg",Samsung,"Galaxy S10 128GB SM-G973 6.1"" Dual Sim LTE Libre de Fabrica (Version Internacional) Verde ",3
51,"https://images-na.ssl-images-amazon.com/images/I/61rI5o2rbAL._AC_UL85_SR85,85_.jpg",Apple,Smartphone iPhone XS MAX Plata - 256GB - Telcel Prepago ,3
52,"https://images-na.ssl-images-amazon.com/images/I/81UgYuadkpL._AC_UL85_SR85,85_.jpg",Xiaomi,"Redmi Note 8 Pro, 64GB memoria/6GB RAM 6.53"" HDR, Helio G90T Octa-Core, Gris - Version Global Desbloqueado ",3
53,"https://images-na.ssl-images-amazon.com/images/I/61fPo-nBDBL._AC_UL85_SR85,85_.jpg",Samsung,"Galaxy S10 128GB SM-G973 6.1"" Dual Sim LTE Libre de Fabrica (Version Internacional) Verde ",3
54,"https://images-na.ssl-images-amazon.com/images/I/61WpoMEdpoL._AC_UL85_SR85,85_.jpg",Apple,"iPhone 7, 128GB, Silver - Fully unlocked- Desbloqueado(Renewed) ",3
55,"https://images-na.ssl-images-amazon.com/images/I/61vZ61imCPL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone 8 Plus 64GB Color Gris. Desbloqueado o Liberado ,3
56,"https://images-na.ssl-images-amazon.com/images/I/31djxUtIq3L._AC_UL200_SR200,200_.jpg",Samsung,"Galaxy J7 Prime, 32 Gb, 3 Gb Ram, Camara de 13 MPX, Lector de huella dactilar,Pantalla brillante 1080p Full HD ",3
57,"https://images-na.ssl-images-amazon.com/images/I/71UDatfCCpL._AC_UL200_SR200,200_.jpg",ZTE,Smartphone Blade L110 Negro AT&T pre-Pago ,3
58,"https://images-na.ssl-images-amazon.com/images/I/31Pvw14nx1L._AC_UL200_SR200,200_.jpg",Apple,"iPhone 7 plus 128 GB, rosa dorado ",3
