,TV Img,TV Brand,TV Model,Tag
85,"https://images-na.ssl-images-amazon.com/images/I/71%2Bk6ZrewrL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv LED UN65TU8000FXZX ( 2020 ) ",2
86,"https://images-na.ssl-images-amazon.com/images/I/81t8Ih3X9gL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 43"" Smart TV 4K Televisor con Sistema Roku Pantalla Ultra HD LED, Cuenta con Ethernet, Wi-Fi, Puertos HDMI, USB ",2
87,"https://images-na.ssl-images-amazon.com/images/I/71IibZoYDFL._AC_UL200_SR200,200_.jpg",TV,"TV LG 50"" 4K Smart TV LED 50UN7300PUC 2020 ",2
88,"https://images-na.ssl-images-amazon.com/images/I/41LJdijZZ2L._AC_UL200_SR200,200_.jpg",TV,"TV TCL 43"" 4K Android TV LED 43A423 (2020) ",2
89,"https://images-na.ssl-images-amazon.com/images/I/81bP0QXHE0L._AC_UL200_SR200,200_.jpg",Sony,"Sony Pantalla 55"" - 4K UHD|HDR - X1 4K HDR Processor - Android TV ",2
90,"https://images-na.ssl-images-amazon.com/images/I/71Z7SDS7wNL._AC_UL200_SR200,200_.jpg",Sony,"Sony Pantalla 55"" - 4K HDR Full Array LED - X1 Ultimate - Android TV ",2
91,"https://images-na.ssl-images-amazon.com/images/I/817CAyMQ2jL._AC_UL200_SR200,200_.jpg",Samsung,Samsung Pantalla 50Smart Tv UHD 4K UN50RU7100FXZX (2019) ,2
92,"https://images-na.ssl-images-amazon.com/images/I/71zl%2Bt2NcQL._AC_UL200_SR200,200_.jpg",TV,"TV LG 65"" 4K Smart TV LED 65UN7300PUC 2020 ",2
93,"https://images-na.ssl-images-amazon.com/images/I/61xkW0HMr%2BL._AC_UL200_SR200,200_.jpg",TCL,"TCL Pantalla 40"" Pulgadas Smart TV ROKU ",2
94,"https://images-na.ssl-images-amazon.com/images/I/51AUI3bM81L._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 58H6500G Serie 6 58\"" 4K UHD, Smart TV, Bluetooth (Solo Audio) Android TV, HDR10, (2020) (58\"") ",2
95,"https://images-na.ssl-images-amazon.com/images/I/917SylT%2BHTL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 32H3D Televisor LED, 720p HD, color negro ",2
96,"https://images-na.ssl-images-amazon.com/images/I/71CmmhU7V7L._AC_UL200_SR200,200_.jpg",TV,"TV LG 65"" 4K Smart TV LED 65Nano81Una 2020 ",2
97,"https://images-na.ssl-images-amazon.com/images/I/91zmQQ6C09L._AC_UL200_SR200,200_.jpg",LG,LG Electronics 24LM530S-PU WebOS de 24 Pulgadas HD de 3.5 Smart TV ,2
98,"https://images-na.ssl-images-amazon.com/images/I/81WHxI7O5iL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 40 Serie H5F VIDAA Smart TV FHD (40H5F) ,2
