,ProductImg,Product Brand,Product Model,Tag
75,"https://images-na.ssl-images-amazon.com/images/I/61EbQiofbGL._AC_UL200_SR200,200_.jpg",HP,"HP Pavilion portatil FHD de 15,6"", procesador Intel Quad-Core i5 de 8 GB, memoria DDR4 WiFi, Bluetooth, Windows 10 Home ",1
76,"https://images-na.ssl-images-amazon.com/images/I/81TM5CgvlQL._AC_UL200_SR200,200_.jpg",Asus,"Asus Chromebook C523 visualizacion HD NanoEdge de 15,6"" con bisagra de 180 Grados procesador Intel Dual Core Celeron ",1
77,"https://images-na.ssl-images-amazon.com/images/I/717ywJDnAHL._AC_UL200_SR200,200_.jpg",HP,"2020 HP 15.6 pulgadas HD LED visualizacion portatil Intel Pentium Gold 6405U procesador 4GB DDR4 RAM, 128 GB SSD, HDMI ",1
78,"https://images-na.ssl-images-amazon.com/images/I/71Np91bqLhL._AC_UL200_SR200,200_.jpg",HP,"2020 HP portatil de 14 pulgadas, procesador Intel Celeron N4000 de hasta 2,6 GHz, 4 GB de RAM DDR4, 64 GB SSD, Intel UHD ",1
79,"https://images-na.ssl-images-amazon.com/images/I/51tJRvYuuZL._AC_UL200_SR200,200_.jpg",Laptop,"Laptop Asus Vivobook S, 15"", Core I5 10A Gen, 8Gb Ram, 1Tb Ssd, White, S533Fa-Bq127T ",1
80,"https://images-na.ssl-images-amazon.com/images/I/618GEuHt8ML._AC_UL200_SR200,200_.jpg",Acer,"Acer Swift 3 Laptop delgada y ligera, 14 pulgadas Full HD IPS, AMD Ryzen 5 4500U Hexa-Core Procesador con Radeon ",1
81,"https://images-na.ssl-images-amazon.com/images/I/71Qr5HOVCzL._AC_UL200_SR200,200_.jpg",Dell,"Dell Laptop G3 15.6"" Core i5 10a. Gen. 8GB RAM, 1TB DD + 256 SSD, NVIDIA GEFORCE GTX 1650 Ti, Windows 10 - Negro. ",1
82,"https://images-na.ssl-images-amazon.com/images/I/71-mNJLIR5L._AC_UL200_SR200,200_.jpg",HP,"HP Pavilion Gaming 15, NVIDIA GeForce GTX 1650, AMD Ryzen 5 4600H, 8GB DDR4 RAM, 512 GB SSD PCIe NVMe, 15.6"" Full HD ",1
83,"https://images-na.ssl-images-amazon.com/images/I/81xIwnpo67L._AC_UL200_SR200,200_.jpg",Apple,"Apple MacBook Air (de 13 pulgadas, Procesador Intel Core i5 de 4 nucleos y 1.1 GHz de decima generacion, 8 GB RAM, 512 ",1
84,"https://images-na.ssl-images-amazon.com/images/I/81gPkYDehqL._AC_UL200_SR200,200_.jpg",Newest,"Newest HP 14"" HD Premium Business Laptop PC | 10th Gen Intel Quad-Core i5-1035G1 up to 3.6GHz | 8GB RAM | 256GB SSD ",1
85,"https://images-na.ssl-images-amazon.com/images/I/71GjONcpjUL._AC_UL200_SR200,200_.jpg",HP,"HP portatil FHD de 15 pulgadas, 10 generacion Intel Core i5-1035G1, 8 GB RAM, 256 GB unidad de estado solido, Windows 10 ",1
86,"https://images-na.ssl-images-amazon.com/images/I/61HPOmkFl1L._AC_UL200_SR200,200_.jpg",Dell,"Dell Laptop Inspiron 14"" 3493, Core i5 10a. Gen., 8GB RAM, 256GB SSD, Win 10 - Plata. ",1
87,"https://images-na.ssl-images-amazon.com/images/I/81UqUntkz6L._AC_UL200_SR200,200_.jpg",ASUS,"ASUS Laptop L406 portatil delgado y ligero, visualizacion HD de 14 pulgadas, procesador Intel Celeron N4000, 4 GB de RAM ",1
88,"https://images-na.ssl-images-amazon.com/images/I/71aYaZp-spL._AC_UL200_SR200,200_.jpg",HP,"HP Stream Laptop de 14 pulgadas, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home en modo S (14-cb159nr, Jet ",1
89,"https://images-na.ssl-images-amazon.com/images/I/41eVdbpbn8L._AC_UL200_SR200,200_.jpg",HP,"HP EliteBook 840 G4 14 pulgadas HD Laptop, Core i5-7300U 2.6GHz, 16GB RAM, 256GB Unidad de estado solido, Webcam ",1
90,"https://images-na.ssl-images-amazon.com/images/I/71k45hZkLmL._AC_UL200_SR200,200_.jpg",Acer,"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS ",1
91,"https://images-na.ssl-images-amazon.com/images/I/51bTeBj1J3L._AC_UL200_SR200,200_.jpg",HUAWEI,"HUAWEI Matebook X Pro 2020 i5 - Laptop de 13.9"" de Decima Generacion Intel Core i5-10210U, Windows 10 Home, Memoria de ",1
92,"https://images-na.ssl-images-amazon.com/images/I/51BMiPWtYeL._AC_UL200_SR200,200_.jpg",HP,"2020 HP Envy 13,3 pulgadas 4K Ultra HD visualizacion tactil portatil 10 generacion Intel i7-1065G7 8 GB memoria DDR4 ",1
93,"https://images-na.ssl-images-amazon.com/images/I/51BMiPWtYeL._AC_UL200_SR200,200_.jpg",HP,"HP - Envy Laptop de visualizacion tactil 4K Ultra HD de 13,3 pulgadas - Intel Core i7-1065G7 - memoria DDR4 de 8 GB ",1
94,"https://images-na.ssl-images-amazon.com/images/I/81r1MpT7eBL._AC_UL200_SR200,200_.jpg",HP,"HP Pavilion Laptop 15.6 pulgadas Full HD, AMD Ryzen 5 3500U, AMD Radeon Vega 8 Graphics, 8GB SDRAM, 1TB HDD + 128 GB SSD ",1
95,"https://images-na.ssl-images-amazon.com/images/I/81%2B0uLLEfYL._AC_UL200_SR200,200_.jpg",Asus,"Asus Vivobook S15 S532 - Portatil Fino y Ligero, 15,6"" FHD, Intel Core i5-10210U, 8 GB DDR4 RAM, 512 GB PCIe SSD ",1
96,"https://images-na.ssl-images-amazon.com/images/I/51tmIh-xfvL._AC_UL200_SR200,200_.jpg",Laptop,"Laptop Dell Inspiron 5593, Pantalla 15.6"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color AZUL ",1
97,"https://images-na.ssl-images-amazon.com/images/I/71BJqmWtKSL._AC_UL200_SR200,200_.jpg",Acer,"Acer Aspire 15.6-inch HD Business Chromebook-Intel Dual-Core Celeron Processor, 4GB LPDDR3, 16GB eMMC Storage, Intel HD ",1
98,"https://images-na.ssl-images-amazon.com/images/I/81nx6wz7GjL._AC_UL200_SR200,200_.jpg",Lenovo,Lenovo IdeaPad S340 Intel Core i3-8145u 8. generacion 4 GB DDR4 1TB HDD 15.6-inch HD Windows 10 Slim Laptop Platinum ,1
99,"https://images-na.ssl-images-amazon.com/images/I/61avuUmetYL._AC_UL200_SR200,200_.jpg",Asus,"Asus Laptop X512DA-BTS2020RL 15.6"" AMD Ryzen 5 8GB 512GB Plata ",1
100,"https://images-na.ssl-images-amazon.com/images/I/814I0Iz4QLL._AC_UL200_SR200,200_.jpg",HP,"HP Pavilion Laptop, Pantalla de 15"" HD, Procesador AMD Ryzen 3-3300U, 12GB RAM, 1TB+128GB SSD, Sistema operativo Windows ",1
101,"https://images-na.ssl-images-amazon.com/images/I/616ayxYmzZL._AC_UL200_SR200,200_.jpg",Lenovo,"Lenovo IdeaPad 3 2020, visualizacion de bisel estrecho Full HD de 14"", procesador AMD Ryzen 3 3250U de doble nucleo, 8 ",1
102,"https://images-na.ssl-images-amazon.com/images/I/71idFa2cEuL._AC_UL200_SR200,200_.jpg",Laptop,"Laptop HP Stream 11 pulgadas, Intel Celeron ",1
103,"https://images-na.ssl-images-amazon.com/images/I/51nJj-tbvnL._AC_UL200_SR200,200_.jpg",PC,"PC portatil HP 15.6 BrightView Premium, A9-9125 | 4 GB | 500 GB, 15-15.99 inches (Renewed) ",1
104,"https://images-na.ssl-images-amazon.com/images/I/615HhqLCmhL._AC_UL200_SR200,200_.jpg",Laptop,"Laptop Gamer ASUS TUF 15.6"", GeForce GTX 1660, Ryzen 7 , 8GB RAM, 1TB HDD + 512GB SSD, FA506IU-HN243T ",1
105,"https://images-na.ssl-images-amazon.com/images/I/41w4cIrvfWL._AC_UL200_SR200,200_.jpg",Laptop,"Laptop DELL inspiron 15 3593: Procesador Intel Core i3 1005G1 (Hasta 3.4 GHz), Memoria de 20GB (16 GB de Intel Optane ",1
106,"https://images-na.ssl-images-amazon.com/images/I/51WQdtPRFJL._AC_UL200_SR200,200_.jpg",Apple,"Apple MacBook Pro (de 13 pulgadas, Touch Bar, Procesador Intel Core i5 de 4 nucleos y 1.4 GHz de octava generacion, 8 GB ",1
107,"https://images-na.ssl-images-amazon.com/images/I/51v32-2A0lL._AC_UL200_SR200,200_.jpg",HP,"HP Portatil de 14 pulgadas, Oro palido, 10th Gen i3-1005G1 (Renewed) ",1
108,"https://images-na.ssl-images-amazon.com/images/I/51xGKouDlgL._AC_UL200_SR200,200_.jpg",Huawei,"Huawei Matebook 13 + MIFI- Computadora portatil ultradelgada 13"" (Intel Core i5-8265U, 8GB RAM + 512GB SSD, Nvidia ",1
109,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL200_SR200,200_.jpg",Tv,"Tv Samsung Crystal 4K UHD 43"" Smart Tv UN43TU6900FXZX (2020) ",2
110,"https://images-na.ssl-images-amazon.com/images/I/814PQSUje3L._AC_UL200_SR200,200_.jpg",TV,"TV Sony 55"" 4K UHD Smart Tv LED 55X720F ",2
111,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL200_SR200,200_.jpg",Tv,"Tv Samsung Crystal 4K UHD 55"" Smart Tv UN55TU6900FXZX (2020) ",2
112,"https://images-na.ssl-images-amazon.com/images/I/81vmLvs6BrL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv QLED QN55Q60TAF ( 2020 ) ",2
113,"https://images-na.ssl-images-amazon.com/images/I/61AKm-cjX7L._AC_UL85_SR85,85_.jpg",TV,"TV Hyundai 32"" HD Smart TV LED HYLED3246NiM ",2
114,"https://images-na.ssl-images-amazon.com/images/I/41PutJfxK9L._AC_UL85_SR85,85_.jpg",TCL,TCL Pantalla 32 Pulgadas Smart TV Roku 32S331-MX (Reacondicionado) ,2
